Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,2207,692,6085,14982,21992,246,23994,0.0,False
jmeter_view_dashboard,4662,139,107,251,312,438,74,691,0.0,False
jmeter_view_issue,12729,311,246,532,647,870,174,2926,0.0,False
jmeter_edit_issue:open_editor,2119,167,133,297,367,519,99,1992,0.0,False
jmeter_create_issue:open_quick_create,1698,105,80,198,236,307,58,2127,0.0,False
jmeter_edit_issue:save_edit,2118,421,346,640,784,1119,256,3097,0.0,False
jmeter_search_jql,5518,675,583,963,1197,1701,422,3864,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1698,363,321,505,560,723,249,1701,0.0,False
jmeter_browse_projects,2109,94,75,158,207,298,57,574,0.0,False
jmeter_view_project_summary,1690,182,137,332,405,602,94,864,0.0,False
jmeter_add_comment:open_comment,845,141,108,241,295,414,70,1114,0.0,False
jmeter_add_comment:save_comment,845,441,383,629,703,908,278,1436,0.0,False
jmeter_intento_translate,4630,1867,1802,2588,2868,3491,110,7145,0.0,True
jmeter_browse_boards,841,126,98,213,257,340,65,575,0.0,False
jmeter_view_kanban_board,1682,196,154,349,411,519,118,1337,0.0,False
jmeter_view_backlog,2099,438,368,695,855,1222,264,2601,0.0,False
jmeter_view_scrum_board,1674,227,178,444,538,742,101,1116,0.0,False
selenium_login:open_login_page,135,114,105,121,136,205,94,725,0.0,False
selenium_login:login_and_view_dashboard,135,1325,1273,1386,1443,2025,486,28739,0.0,False
selenium_login,135,1440,1377,1501,1566,2200,589,29465,0.0,False
selenium_project_summary,135,422,397,458,482,556,334,2575,0.0,False
selenium_browse_projects_list,135,275,269,311,323,419,226,497,0.0,False
selenium_browse_boards_list,135,842,874,1630,1729,1847,221,3878,0.0,False
selenium_create_issue:open_quick_create,135,647,624,675,773,1097,589,1471,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,135,1193,1189,1654,1738,1900,594,2101,0.0,False
selenium_create_issue:fill_and_submit_issue_form,135,1891,1792,2292,2492,5306,1091,5464,0.0,False
selenium_create_issue,135,2538,2432,3004,3278,5935,1711,6095,0.0,False
selenium_edit_issue:open_edit_issue_form,135,569,548,672,704,796,398,1842,0.0,False
selenium_edit_issue:save_edit_issue_form,135,609,557,810,877,988,461,1015,0.0,False
selenium_edit_issue,135,1539,1477,1756,1886,2075,1314,3409,0.0,False
selenium_save_comment:open_comment_form,135,394,389,458,472,502,256,524,0.0,False
selenium_save_comment:submit_form,135,787,742,930,1030,1152,653,2272,0.0,False
selenium_save_comment,135,1287,1239,1469,1540,2303,1088,2733,0.0,False
selenium_search_jql,135,1181,1152,1587,1698,1784,606,2496,0.0,False
selenium_view_scrum_board_backlog,135,1561,1589,1925,2042,2120,796,4381,0.0,False
selenium_view_scrum_board,135,1378,1393,1865,1982,2059,302,5154,0.0,False
selenium_view_kanban_board,135,1375,1434,1920,2023,2177,403,2305,0.0,False
selenium_view_dashboard,135,441,365,664,765,931,334,1063,0.0,False
selenium_view_issue,135,549,541,597,633,713,458,732,0.0,False
selenium_log_out,135,322,307,375,399,495,270,541,0.0,False
